after,dairy,drinks,entry,fruit,spices
checkout,0.10882110469909316,0.2078853046594982,0.0,0.2154405820533549,0.1547811993517018
dairy,0.7323440505633416,0.01228878648233487,0.30176355323318094,0.1026677445432498,0.1912479740680713
drinks,0.05743336081341028,0.6031746031746031,0.15610711952971915,0.05335489086499596,0.1580226904376013
fruit,0.04754053311349272,0.09421402969790067,0.37818419333768777,0.5792239288601455,0.08670988654781199
spices,0.05386095081066227,0.08243727598566308,0.16394513389941215,0.04931285367825384,0.40923824959481364
