after,dairy,drinks,entry,fruit,spices
checkout,0.1058246828143022,0.21263554926921263,0.0,0.18123827392120076,0.15414110429447853
dairy,0.7321222606689735,0.00942951438000943,0.2635761589403974,0.1024390243902439,0.1848159509202454
drinks,0.06401384083044982,0.603017444601603,0.15496688741721854,0.06303939962476549,0.1687116564417178
fruit,0.04930795847750865,0.08203677510608204,0.3880794701986755,0.6037523452157598,0.09662576687116564
spices,0.04873125720876586,0.09288071664309289,0.19337748344370861,0.04953095684803002,0.39570552147239263
