after,dairy,drinks,entry,fruit,spices
checkout,0.10291734197730956,0.2224,0.0,0.19879518072289157,0.15281899109792285
dairy,0.7401404646137223,0.011733333333333333,0.29511400651465797,0.0884789156626506,0.18916913946587538
drinks,0.05672609400324149,0.5861333333333333,0.14201954397394137,0.051957831325301206,0.15578635014836795
fruit,0.05240410588870881,0.0864,0.36872964169381106,0.6080572289156626,0.08827893175074183
spices,0.04781199351701783,0.09333333333333334,0.19413680781758957,0.05271084337349398,0.413946587537092
