after,dairy,drinks,entry,fruit,spices
checkout,0.10275900900900901,0.2155491567256273,0.0,0.20116526257774978,0.15000797066794197
dairy,0.737331081081081,0.010900863842040313,0.2875755540631296,0.095976694748445,0.19336840427227803
drinks,0.05861486486486486,0.5986219662690251,0.15352585627938214,0.05487756869537832,0.16323927945161804
fruit,0.049887387387387384,0.0879267791032497,0.3774345198119543,0.5972758050547201,0.0910250278973378
spices,0.05140765765765766,0.0870012340600576,0.18146406984553393,0.05070466892370679,0.40235931771082417
