after,dairy,drinks,entry,fruit,spices
checkout,0.10722543352601156,0.22916666666666666,0.0,0.2070578231292517,0.1429801894918174
dairy,0.7372832369942196,0.009837962962962963,0.29254571026722925,0.09863945578231292,0.21188630490956073
drinks,0.05260115606936416,0.5873842592592593,0.15471167369901548,0.0548469387755102,0.15676141257536608
fruit,0.048554913294797684,0.08622685185185185,0.3931082981715893,0.5850340136054422,0.08613264427217916
spices,0.05433526011560694,0.08738425925925926,0.15963431786216598,0.05442176870748299,0.40223944875107664
