after,dairy,drinks,entry,fruit,spices
checkout,0.08879977083930106,0.20810942843185148,0.0,0.20516836335160532,0.14437194127243066
dairy,0.7447722715554282,0.011235955056179775,0.2847270214236351,0.08809710258418167,0.19168026101141925
drinks,0.062446290461185903,0.6106497313141183,0.1603317208016586,0.05090054815974941,0.1769983686786297
fruit,0.05156115726152965,0.09086468001954079,0.359364201796821,0.6080657791699295,0.09706362153344208
spices,0.052420509882555144,0.07914020517830972,0.19557705597788527,0.047768206734534066,0.3898858075040783
